Property,Descriptions,中文名称,新描述
bucketSpecification,0,资源桶规约,与实体相关的资源桶规约（模板）。
serviceOrderHref,Reference of the related entity.,服务订单链接,相关实体的引用链接。
readingProficiency,Reading proficiency evaluated for this language,阅读熟练度,个人对某种语言的阅读熟练度评估。
languageName,Language name,语言名称,语言的名称。
speakingProficiency,Speaking proficiency evaluated for this language,口语熟练度,个人对某种语言的口语熟练度评估。
requestedDate,Date when the authorization is requested for,请求日期,请求授权的日期。
serviceOrderId,Unique identifier of a related entity.,服务订单ID,相关实体的唯一标识符。
disabilityName,Name of the disability,残障名称,残障的名称。
listeningProficiency,Listening proficiency evaluated for this language,听力熟练度,个人对某种语言的听力熟练度评估。
disabilityCode,Code of the disability,残障代码,残障的代码。
@vocab,Used to expand properties and values in @type with a common prefix IRI,@词汇表 (JSON-LD),用于定义一个默认的前缀IRI，以简化JSON-LD文档中属性和值的书写。
@reverse,Used to express reverse properties.,@反向属性 (JSON-LD),用于表示反向关系，即从目标节点指向源节点的关系。
@container,Used to set the default container type for a term.,@容器 (JSON-LD),用于为某个术语设置默认的容器类型，例如数组或集合。
@list,Used to express an ordered set of data.,@列表 (JSON-LD),用于表示一个有序的数据集合（数组）。
@base,Used to set the base IRI against which relative IRIs are resolved,@基地址 (JSON-LD),用于为JSON-LD文档中的相对IRI（链接）提供一个基础解析地址。
@context,Used to define the short-hand names that are used throughout a JSON-LD document.,@上下文 (JSON-LD),用于定义整个JSON-LD文档中使用的术语（短名称）与其对应的IRI（完整链接）之间的映射。
@language,Used to specify the language for a particular string value or the default language of a JSON-LD document.,@语言 (JSON-LD),用于为某个字符串值指定语言，或为整个文档设置默认语言。
@value,Used to specify the data that is associated with a particular property in the graph.,@值 (JSON-LD),用于指定与图中某个特定属性关联的数据值。
@id,Used to uniquely identify things that are being described in the document with IRIs or blank node identifiers.,@ID (JSON-LD),用于通过IRI（链接）或空白节点标识符来唯一地标识文档中描述的事物。
@graph,Used to express a graph.,@图 (JSON-LD),用于表示一个由节点和边组成的图谱。
usageCharacteristic,A list of characteristics that characterize this Service Usage (usageCharacteristic [*]) ,用量特征,描述一次服务使用量的具体特征列表。
trackingRecord,List of tracking records that allow the tracking of modifications on the problem.The tracking records should not be embedded in the problem to allow retrieving the problem without the tracking records,跟踪记录,允许跟踪问题修改历史的记录列表。
@set,Used to express an unordered set of data and to ensure that values are always represented as arrays.,@集合 (JSON-LD),用于表示一个无序的数据集合，并确保值始终以数组形式表示。
instantSyncQualification,"A previous indicator which when the value is ""true"" means that requester expects to get qualifcation result immedi3ately in the response. If the indicator is true (or by default now without it) then the response code of 200 indicates the operation is successful otherwise a task is created with a response 201. For asynchronous, this attribute is now replaced by the header request ""Expect: 202-Accepted""",即时同步资格查询,（旧版）一个布尔值，为true时表示请求方期望立即在响应中获得资格查询结果。现已由HTTP头Expect: 202-Accepted替代。
targetPolicyEffect,"If underlying PolicyCondition resolves to TRUE, denotes target effect of a PolicyRule. If PolicyCondition is not resolved, then Policy effect is marked INDETERMINATE. If Policy is not run at all (because of Policy Constraints), then Policy effect is marked NOT_APPLICABLE.",目标策略效果,当策略条件为真时，策略规则期望达到的效果，通常是“允许”（Permit）或“拒绝”（Deny）。
operatingStatusContextUpdate,0,运行状态上下文更新,关于运行状态的上下文更新信息。
combiningAlgorithm,"defines a procedure for arriving at the result given the individual results of PolicyRule evaluations: 
 * DenyOverrides - if a Policy element is encountered that evaluates to DENY, then, regardless of the evaluation result of the other Policy elements, the combined result is DENY. 
 * PermitOverrides - if a Policy element is encountered that evaluates to PERMIT, then, regardless of the evaluation result of the other Policy elements, the combined result is PERMIT. 
 * FirstApplicable - the combined result is the same as the result of successfull evaluating the first Policy. 
 * OnlyOneApplicable - The result of this combining algorithm ensures that one and only one Policy is applicable by virtue of their targets.  If no Policy applies, then the result is NOT_APPLICABLE, but if more than one Policy is applicable, then the result is INDETERMINATE.  When exactly one Policy is applicable, the result of the combining algorithm is the result of that Policy. 
 * DenyUnlessPermit - intended for those cases where a PERMIT decision should have priority over a DENY decision, and an INDETERMINATE or NOT_APPLICABLE must never be the result. 
 * PermitUnlessDeny - intended for those cases where a DENY decision should have priority over a PERMIT decision, and an INDETERMINATE or NOT_APPLICABLE must never be the result.",组合算法,定义了当一个策略集包含多个规则时，如何根据单个规则的评估结果得出最终组合结果的算法。
isBilled,Boolean indicating if usage have been billed or not,是否已计费,一个布尔值，表明该笔用量是否已经被计费出账。
promotion,List of promotions of a customer.,促销活动,客户可参与的促销活动列表。
confirmationDate,Date when the deduction was confirmed in the server,确认日期,扣款在服务器端被确认的日期。
resolver,Specification of a varaible resolver,解析器,策略变量解析器的规约。
policyEventType,List of PolicyEvent types,策略事件类型,策略事件的类型列表。
permissionSpecification,List of permission specifications in this set,权限规约,此权限集包含的权限规约列表。
policyConditionRefOrValue,0,策略条件引用或值,包含了策略条件引用或其完整信息的灵活模型。
policyRelationship,List of all Policies that need to be executed,策略关系,需要被执行的所有策略的列表。
actualCost,Represents the actual cost of the closed loop activity.,实际成本,闭环活动所发生的实际成本。
loyaltyAccount,List of loyalty account of a customer.,忠诚度账户,客户的忠诚度账户（如积分账户）列表。
metricHref,Hyperlink to access a metric for detail information,指标链接,用于访问指标详细信息的URL链接。
quote,List of quoate of a customer.; Work Order Quote Reference,报价单,客户的报价单列表；工单相关的报价单引用。
requestedCompletionDate,Requested delivery date from the requestor perspective,期望完成日期,请求者期望的交付日期。
requestedStartDate,"Order fulfillment start date wished by the requestor. This is used when, for any reason, requestor cannot allow seller to begin to operationally begin the fulfillment before a date. ",期望开始日期,请求者希望订单开始履行的日期。
externalId,Can be used to pass the internal identifier of the order in the Channel Partner system.; External reference known by the Partner; ID given by the consumer and only understandable by him (to facilitate his searches afterwards),外部ID,对象在外部系统或合作伙伴系统中的标识符，用于跨系统关联和查找。
catalogType,"Type of this Catalog, like Product, Service, Resource etc.",目录类型,目录的类型，例如“产品目录”、“服务目录”、“资源目录”。
isRoot,"If true, this Boolean indicates that the category is a root of categories",是否为根分类,一个布尔值，表明该分类是否为顶级（根）分类。
captureMethod,The method used to capture the Metrics (This may be replaced by a set of entities similar to the Performance Monitoring Ref),采集方法,用于采集指标（Metric）的方法。
metricName,The name of the metric,指标名称,指标的名称。
balanceType,"Type of the balance : deposit balance, disputed balance, loyalty balance, receivable balance...",余额类型,余额的类型，例如“押金余额”、“争议余额”、“忠诚度余额”、“应收余额”。
metricDescription,Brief description of the metric,指标描述,指标的简要描述。
brand,The manufacturer or trademark of the specification,品牌,规约（Specification）所对应的制造商或商标。
group,0,分组,相关的对象分组。
riskAssessmentResult,0,风险评估结果,风险评估的结果。
credential,A list of credential/authentification method that are used for this digital identity.,凭证,此数字身份使用的凭证或认证方法列表。
plannedStart,Represents the scheduled date-time to start a activity for a closed loop.,计划开始时间,为闭环活动安排的计划开始日期和时间。
plannedEnd,Represents the scheduled date-time to end a activity for a closed loop.,计划结束时间,为闭环活动安排的计划结束日期和时间。
stateReason,List of human readable reasons fot the current state of the check product configuration computation (e.g.: Configured product is missing a characteristic value 'Bandwidh').,状态原因,对当前状态的人性化原因说明列表，例如“产品配置缺少带宽特征值”。
loyaltyProgramProduct,0,忠诚度计划产品,与实体相关的忠诚度计划产品。
tax,An amount of money levied on the price of a Product by a legislative body.,税费,由立法机构对产品价格征收的款项。
featureId,Unique identifier of the target feature specification.,功能ID,目标功能规约的唯一标识符。
featureSpecCharacteristic,This is a list of characteristics for a particular feature,功能规约特征,特定功能的特征或属性列表。
featureSpecRelationship,"A dependency, exclusivity or aggratation relationship between/among feature specifications.",功能规约关系,功能规约之间的依赖、排他或聚合关系。
variable,0,变量,在策略或规则中使用的变量。
termOrCondition,List of terms and conditions for this clause.,条款,此条款包含的具体条款和条件列表。
resourceRelationshipCharacteristic,0,资源关系特征,描述资源关系的一个具体特征。
partyRole,0,参与方角色,与实体相关的参与方角色。
resourceOrderHref,Reference of the related entity.,资源订单链接,相关实体的引用链接。
resourceOrderId,Unique identifier of a related entity.,资源订单ID,相关实体的唯一标识符。
body,The body of the request. For example for an HTTP request might contain content of a form .,消息体,请求的主体内容，例如HTTP请求中的表单内容。
affectedService,Provides list of affected services.,受影响的服务,受事件影响的服务列表。
numberRelOfferUpperLimit,The maximum total number of instances of the child offerings directly of hierarchically in the group that should be instantiated,关联目录实例数上限,在组合产品中，子产品实例总数的最大值。
numberRelOfferLowerLimit,The minimum total number of instances of the child offerings directly of hierarchically in the group that should be instantiated,关联目录实例数下限,在组合产品中，子产品实例总数的最小值。
isShared,True if the bucket is shared between several devices or users,是否共享,一个布尔值，表明一个资源桶（Bucket）是否在多个设备或用户间共享。
costRelationship,A list of cost relationships (CostRelationship [*]). Describes links with other cost(s).,成本关系,描述与其他成本记录之间关系的列表。
remainingValueName,Remaining amount in a formatted string for the bucket given in the balance unit (for example 1.9 Gb). This formatted string could be used for display needs for example,剩余值(格式化),资源桶中剩余量的格式化字符串，用于界面展示，例如“1.9 Gb”。
requestedCancellationDate,Date when the submitter wants the order to be cancelled,期望取消日期,提交者希望订单被取消的日期。
bucketCounter,0,资源桶计数器,资源桶中的计数器信息。
cancellationDate,Date when the order is cancelled. This is used when order is cancelled. ,取消日期,订单被取消的日期。
bucketRelationship,0,资源桶关系,资源桶之间的关系。
channelPartner,0,渠道合作伙伴,与实体相关的渠道合作伙伴。
frequency,Frequency of the billing cycle (monthly for instance),频率,计费周期的频率，例如“每月”。
resourceUsage,Relationship to resource usage,资源使用量,与实体相关的资源使用量。
allowedAction,List of actions that can be executed (in context of a product order) on products instantiated from this offering,允许的动作,在产品订单上下文中，对此产品目录的实例允许执行的操作列表。
usageDate,Date of usage,使用日期,用量发生的日期。
totalAmount,0,总金额,总计金额。
performanceIndicatorSpecification,0,性能指标规约,与实体相关的性能指标规约（模板）。
serviceUsage,Relationship to service usage,服务使用量,与实体相关的服务使用量。
bundledProductOffering,"Child offerings, from which instances can be created as direct or hierarchically indirect children of the parent offering.",组合产品目录项,组合产品（套餐）中包含的子产品目录。
document,0,文档,与实体相关的文档。
sku,This is a string that defines the manufacturer-allocated Stock Keeping Unit (SKU) number of the hardware item. This is an optional attribute.,库存单位(SKU),制造商分配的库存单位（SKU）编号，用于唯一标识硬件项目。
bundledGroupProductOffering,"Child groups of product offerings, to enable hierarchical sub-grouping.",组合产品目录组,组合产品中的子分组，用于实现层级化的产品结构。
troubleTicket,A list of trouble tickets associated with this problem.; List of trouble tickets for a customer.,故障单,与问题（Problem）或客户关联的故障单列表。
sourceHref,The monitored resource href,来源链接,被监控资源的URL链接。
response,0,响应,请求的响应内容。
header,"Items included in the header of the request. For example for an HTTP request might contain requested locale, basic authentication.",消息头,请求头中包含的项目，例如语言区域、认证信息。
request,0,请求,请求的详细信息。
isTaxExempt,Indicates if the rated amount is exempt of tax,是否免税,一个布尔值，表明经过计费（批价）的金额是否免税。
taxIncludedRatingAmount,0,含税计费金额,包含税费的计费金额。
taxExcludedRatingAmount,0,不含税计费金额,不包含税费的计费金额。
ratingDate,Date of usage rating,计费日期,用量被计费（批价）的日期。
measurementCollectionJob,0,度量采集任务,与实体相关的度量采集任务。
ratingAmountType,Type of amount,金额类型,金额的类型。
agreementPeriod,0,协议周期,协议的有效周期。
agreementType,The type of the agreement. For example commercial,协议类型,协议的类型，例如“商业协议”。
productNumber,An identification number assigned to uniquely identity the specification,产品编号,用于唯一标识一个规约（Specification）的编号。
productSpecCharacteristic,"A characteristic quality or distinctive feature of a ProductSpecification.  The characteristic can be take on a discrete value, such as color, can take on a range of values, (for example, sensitivity of 100-240 mV), or can be derived from a formula (for example, usage time (hrs) = 30 - talk time *3). Certain characteristics, such as color, may be configured during the ordering or some other process.",产品规格特征,产品规格的一个特征或独特属性，其值可以是离散值、范围或公式计算结果。
paymentDueDateOffset,An offset of a payment due date. The offset is expressed as number of days with regard to the start of the BillingPeriod.,付款到期日偏移量,相对于计费周期开始日的付款到期日偏移天数。
mailingDateOffset,An offset of a customer bill mailing date. The offset is expressed as number of days with regard to the start of the BillingPeriod.,邮寄日期偏移量,相对于计费周期开始日的客户账单邮寄日期偏移天数。
billingDateShift,An offset of a billing/settlement date. The offset is expressed as number of days with regard to the start of the billing/settlement period.,计费日期偏移,相对于计费周期开始日的计费日期偏移天数。
creditDateOffset,An offset of a date through which credits previously received by the billing system will appear on the bill. The offset is expressed as number of days with regard to the start of the BillingPeriod.,贷项日期偏移量,贷项出现在账单上的截止日期，相对于计费周期开始日的偏移天数。
taxCategory,Tax category,税收分类,税收的分类。
bundledProductSpecification,A type of ProductSpecification that belongs to a grouping of ProductSpecifications made available to the market. It inherits of all attributes of ProductSpecification.,组合产品规格,一种属于产品组合的产品规格，继承了产品规格的所有属性。
chargeDateOffset,An offset of a date through which charges previously received by the billing system will appear on the bill. The offset is expressed as number of days with regard to the start of the BillingPeriod.,费用日期偏移量,费用出现在账单上的截止日期，相对于计费周期开始日的偏移天数。
resourceCandidate,List of resource candidates accessible via this category,资源候选,可通过此分类访问的资源候选列表。
period,0,周期,时间周期。
closedLoop,0,闭环,与实体相关的闭环流程。
specificationCharacteristic,"List of characteristics that are relevant for evaluating the permission. For example, if the permission relates to granting an ad-hoc order price reduction, a characteristic might be defined for the maximum allowed reduction.",规约特征,用于评估权限的相关特征列表。
targetApplication,0,目标应用,目标应用信息。
offerTariffType,Type of tariff applied,资费类型,应用的资费类型。
rating,"Identifies the potential of a salesLead for becoming a sale. Usual ratings for qualified leads are: hot, warm, cold.",评级,标识一个销售线索的成交潜力，通常评级为“热”、“温”、“冷”。
agreementAuthorization,A list of signatures or other authorizations that constitute approval by the relevant parties,协议授权,构成相关方批准的签名或其他授权的列表。
effectiveQualificationDate,Effective date to serviceQualification completion,资格查询生效日期,服务资格查询完成的生效日期。
fileTransferData,0,文件传输数据,文件传输的相关数据。
dataAccessEndpoint,0,数据访问端点,数据访问端点的相关信息。
initialDate,Date at which the agreement was initialized,初始日期,协议初始化的日期。
egressPoint,0,出口点,网络或流程的出口点。
money,0,货币金额,货币金额信息。
createDate,Date and time when the detail was created,创建日期,详情被创建的日期和时间。
relatedDocument,"Documents related to the agreement, suc as signed off contract",关联文档,与协议相关的文档，例如已签署的合同。
entityType,"The type of entity in the group, equivalent to @type in the entity definition. Must be a top-level managed entity. The filter expression is applied to this entity type.",实体类型,资产组中的实体类型，与实体定义中的@type等效。
estimatedRevenue,0,预计收入,预计产生的收入。
informationRequired,0,需要补充信息,需要补充的信息项。
parentProblem,The parent problem to which this problem is attached.,父问题,此问题所附属的父问题。
shippingInstruction,0,发货指令,发货的具体操作指示。
plannedTenure,0,计划任期,计划的任期或持续时间。
scheduleDefinition,0,计划定义,计划的详细定义。
manufactureDate,This is a string attribute that defines the date of manufacture of this item in the fixed format "dd/mm/yyyy". This is an optional attribute.,生产日期,物品的生产日期，格式为 "dd/mm/yyyy"。
taskFlow,A list of taskflow related to this processFlow,任务流,与此流程（ProcessFlow）相关的任务流列表。
productOfferingTerm,"A condition under which a ProductOffering is made available to Customers. For instance, a productOffering can be offered with multiple commitment periods.",产品目录条款,客户获取某个可销售产品（Product Offering）时所需遵守的条件，例如不同的合约期。
serviceCandidate,List of service candidates associated with this category,服务候选,与此分类关联的服务候选列表。
minimumQuantity,"The minimum number of the related resource that should be instantiated, for example a rack must have at least 1 card",最小数量,相关资源应被实例化的最少数量，例如一个机架必须至少有1块板卡。
capacitySpecification,defines the characteristics of Capacities measured in quantity and units of quantity over an extended period.,容量规约,定义了在一段时间内测量的容量特征，包括数量和单位。
marketSegment,"provides references to the corresponding market segment as target of product offerings. A market segment is grouping of Parties, GeographicAreas, SalesChannels, and so forth.",细分市场,指向产品目录的目标细分市场，细分市场是参与方、地理区域、销售渠道等的组合。
prodSpecCharValueUse,"A use of the ProductSpecificationCharacteristicValue by a ProductOffering to which additional properties (attributes) apply or override the properties of similar properties contained in ProductSpecificationCharacteristicValue. It should be noted that characteristics which their value(s) addressed by this object must exist in corresponding product specification. The available characteristic values for a ProductSpecificationCharacteristic in a Product specification can be modified at the ProductOffering level. For example, a characteristic 'Color' might have values White, Blue, Green, and Red. But, the list of values can be restricted to e.g. White and Blue in an associated product offering. It should be noted that the list of values in 'ProductSpecificationCharacteristicValueUse' is a strict subset of the list of values as defined in the corresponding product specification characteristics.",产品规格特征值用途,允许在可销售产品（Product Offering）层面，覆写或限制其底层产品规格中定义的特征值。例如，规格定义颜色可选“红绿蓝”，但在某个销售产品中限制为只能选“红蓝”。
defaultQuantity,"The default number of the related resource that should be instantiated, for example a rack would typically have 4 cards, although it could support more.",默认数量,相关资源应被实例化的默认数量，例如一个机架通常默认配置4块板卡。
maximumQuantity,"The maximum number of the related resource that should be instantiated, for example a rack supports a maximum of 16 cards",最大数量,相关资源可被实例化的最大数量，例如一个机架最多支持16块板卡。
bill,The bills related to this report item,账单,与此报告项相关的账单。
searchCriteria,0,搜索标准,用于搜索操作的标准或条件。
statementOfIntent,An overview and goals of the Agreement,意向声明,协议的概述和总体目标。
ingressPoint,0,入口点,网络或流程的入口点。
plannedCost,Represents the budgeted cost of the closed loop activity.,计划成本,闭环活动的预算成本。
activityRelationship,0,活动关系,描述不同活动之间的关系。
agreementRelationship,Points to other agreements that may be related to this agreement,协议关系,指向与此协议相关的其他协议。
itemPrice,Price per item,项目单价,每个项目的价格。
productOrderItemId,Identifier of a product order item. ,产品订单项ID,产品订单项的唯一标识符。
notificationContact,Contact attached to the order to send back information regarding this order,通知联系人,订单上附加的联系人，用于接收订单相关的通知信息。
ProductOrderHref,Reference of the related ProductOrder.,产品订单链接,相关产品订单的URL引用。
serialNumber,This is a string that represents a manufacturer-allocated number used to identify different instances of the same hardware item. The ModelNumber and PartNumber attributes are used to identify different types of hardware items. This is a REQUIRED attribute.,序列号(SN),制造商分配的、用于区分同一类型硬件不同实例的唯一编号。
powerState,"This defines the current power status of the hardware item. Values include:

  0:  Unknown
  1:  Not Applicable
  2:  No Power Applied
  3: Full Power Applied
  4:  Power Save - Normal
  5:  Power Save - Degraded
  6:  Power Save - Standby
  7:  Power Save - Critical
  8:  Power Save - Low Power Mode
  9:  Power Save - Unknown
 10: Power Cycle
 11: Power Warning
 12: Power Off",电源状态,硬件当前的电源状态，例如“未知”、“未通电”、“全功率”、“省电模式”等。
productOrderId,Unique identifier of a refered product order.,产品订单ID,被引用的产品订单的唯一标识符。
placeTo,0,目的地,目的地地点。
placeFrom,0,出发地,出发地地点。
versionNumber,This is a string that identifies the version of this physical resource. This is an optional attribute.,版本号,标识此物理资源实例的版本字符串。
productOrderItemRelationship,Collection of order items relationships in the Open Gateway context.,产品订单项关系,Open Gateway场景下，产品订单项之间的关系集合。
quoteItem,A quote items describe an action to be performed on a productOffering or a product in order to get pricing elements and condition.; A structure to embedded quote item within quote item,报价项,报价单中的一个具体项目，描述了为获取价格而需对产品执行的动作。
remainingValue,0,剩余值,资源桶中的剩余量。
approvedProductOfferingTermOrCondition,Approved Terms or Conditions of the ProductOffering.,已批准的产品目录条款,已被批准的产品目录（Product Offering）的条款和条件。
reservedValue,0,预留值,资源桶中被预留的量。
bestAccuracy,The best accuracy is the wished accuracy of the location in the response.,最佳精度,响应中期望达到的最佳位置精度。
exception, The exception associated with this jeopardy alert,异常,与此风险告警相关的异常信息。
jeopardyType,"A string represents the type of jeopardy/risk like Normal, Hazard, Critical, ...",风险类型,表示风险类型的字符串，例如“普通”、“危险”、“严重”。
serviceProblem,List of service problems of a customer.,服务问题,客户的服务问题列表。
alertDate,A date time( DateTime). The date that the alert issued,告警日期,告警发出的日期和时间。
item,0,项目/条目,列表中的一个具体项目。
trustLevel,A level of assurance associated with this credential - this could be used to limit/allow specific permission based on this trust level.,信任级别,与凭证关联的可信度等级，可用于限制或允许特定权限。
alarmChangedTime,"Indicates the last date and time when the alarm is changed on the alarm-owning system. Any change to the alarm whether coming from the alarmed resource, or triggered by a change from the client is changing this time.",告警变更时间,告警在所属系统上最后一次发生变更的日期和时间。
ackSystemId,Name of the acknowledging system,确认系统ID,确认告警的系统的名称。
ackUserId,Name of the acknowledging user,确认用户ID,确认告警的用户的名称。
alarmPattern,Alarm patterns to match target alarms. An alarm will match if all of the attributes in any of the patterns compare equal to those attributes of the alarm.,告警模式,用于匹配目标告警的模式。如果一个告警的所有属性都与模式中的任一模式相匹配，则匹配成功。
parentAlarm,Provides list of parrent Alarms.,父告警,此告警的父告警列表。
correlatedAlarm,Provides list of correlated Alarms.,关联告警,与此告警相关的其他告警列表。
time,Describes the time at which the action was done,时间,动作完成的时间。
expectedQualificationDate,A date (DateTime). Deadline date when the requester expected a qualification answer.,期望资格查询日期,请求者期望得到资格查询答复的截止日期。
provideAlternative,When the value is TRUE means that alternative solutions should be provided,提供备选方案,一个布尔值，为true时表示应提供备选解决方案。
signatureRepresentation,Indication that represents whether the signature is a physical paper signature or a digital signature.,签名形式,表明签名是实体纸质签名还是数字签名。
indicatorUnit,"The unit by which the indicator is measured. For example, seconds, KBs, rate per second, etc.",指标单位,指标的度量单位，例如“秒”、“KB”、“次/秒”。
systemId,Describes the system Id from which the action was done,系统ID,执行动作的系统的ID。
numberOfAllowedCrossing,"The number of allowed crossing occurrences in reference to the 
tolerancePeriod without a consequence being initiated.",允许的越限次数,在一个容忍周期内，允许的阈值穿越次数。超过此次数将触发相应后果。
thresholdRuleSeverity,"A threshold can be generated in different severity levels. A 
crossing for each level may require a different condition and possibly trigger a different consequence.",阈值规则严重性,阈值可以有不同的严重性等级，每个等级的穿越可能需要不同的条件并触发不同的后果。
conformanceTargetExact,"To cater for values that are not numerical test metrics (e.g. a DSL line can be Synchronised or Unsynchronised. If the latter, the test should result in a rule violation).The allowed value can contain a REGEX expression.",精确符合目标,用于非数值型指标的精确匹配目标值，例如一条DSL线路的状态可以是“同步”或“未同步”。
tolerancePeriod,0,容忍周期,在触发后果之前，可以容忍阈值穿越持续的时间段。
conformanceComparatorExact,"An operator that when applied on a value specifies whether it 
is the same target value or not. This operator is used to compare with the conformanceTargetExact if used.",精确符合比较符,用于与conformanceTargetExact目标值进行比较的操作符（通常是“等于”或“不等于”）。
conformanceComparatorUpper,"An operator that when applied on a value specifies whether a 
threshold is crossed or ceased to be crossed. This operator is used to compare with the conformanceTargetUpper if used.",上限比较符,用于与conformanceTargetUpper上限值进行比较的操作符（如 >、>=），以判断是否越过阈值。
conformanceTargetLower,"A value used to determine if the threshold is crossed or ceases 
to be crossed. It represents the lower limit. The value should be less than the conformanceTargetUpper if used. The conformance comparators should also be logically defined so as to not lead to a logically impossible condition.",下限目标,用于判断阈值是否被穿越的下限值。
qualificationItemRelationship,A list of qualification item relationships used to describe relationship between serviceQualification item from the same serviceQualification.,资格查询项关系,描述同一次服务资格查询中不同查询项之间的关系。
granularity,Indicates the granularity at which the indicator is evaluated for threshold crossing,粒度,评估指标是否越过阈值的时间粒度。
repeatAction,"An indicator used to specify that a consequence should cease 
being applied if a value is in the same range as the previous value or continue being applied if a value is in the same range as the previous value.  
If the repeatAction is True, if the consequence is always applied as soon as the MetricMeasure value is in the range of values and if the repeatAction is False, the consequence is applied only if the previous MetricMeasure value was not in the same range.",重复动作,一个布尔值，用于指定当指标值连续保持在同一越限范围时，是否应重复触发后果。
conformanceComparatorLower,"An operator that when applied on a value specifies whether a 
threshold is crossed or ceased to be crossed. This operator is used to compare with the conformanceTargetLower if used.",下限比较符,用于与conformanceTargetLower下限值进行比较的操作符（如 <、<=），以判断是否越过阈值。
milestoneDate,A date time( DateTime). The date that the milestone happens,里程碑日期,里程碑事件发生的日期和时间。
bundledProductOfferingOption,0,组合产品选项,组合产品（套餐）中的选项。
troubleTicketSpecification,0,故障单规约,与实体相关的故障单规约（模板）。
isSelected,A flag indicating whether the action is selected in the current product configuration.,是否已选择,一个布尔值，表明该动作在当前产品配置中是否被选中。
conformanceTargetUpper,"A value used to determine if the threshold is crossed or ceases 
to be crossed. It represents the Upper limit. The value should be greater than the conformanceTargetLower if used. The conformance comparators should also be logically defined so as to not lead to a logically impossible condition.",上限目标,用于判断阈值是否被穿越的上限值。
bundledProductUsage,Relationship to Product Usage in bundle,组合产品用量,在组合产品中，与产品用量的关系。
ratedProductUsage,0,已计费产品用量,与实体相关的已计费产品用量。
function,"The function to which the action applies, could be an entity class name, in which case the action defines permission to read or modify these entities. E.g. Read ProductOffering. Alternatively, the function is an agreed string that reflects a specific functionality to which access is controlled, such as giving an ad-hoc price reduction in a product order.",功能/作用对象,权限所适用的功能或实体，例如“读取ProductOffering”，或某个特定功能如“应用折扣”。
vendor,"This is a string that defines the name of the manufacturer. This, in combination with the Model and the Part, identify different types of hardware items. The SerialNumber can then be used to differentiate between different instances of the same type of hardware item. This is a REQUIRED attribute for a physical resource.",厂商,硬件的制造商名称。
salesOpportunity,0,销售机会,与实体相关的销售机会。
part,"This is a string that defines a manufacturer-allocated part number assigned by the organization that manufactures the hardware item. This, in combination with the Model and the Vendor, identify different types of hardware items. The SerialNumber can then be used to differentiate between different instances of the same type of hardware item. This is a REQUIRED attribute.",部件号,制造商分配的部件编号。
sourceSystemId,Source system identity.,源系统ID,源系统的身份标识。
closedLoopGoal,0,闭环目标,与实体相关的闭环目标。
usage,0,用量,与实体相关的用量信息。
salesLead,0,销售线索,与实体相关的销售线索。
model,"This is a string that represents a manufacturer-allocated number used to identify the general type and/or category of the hardware item. This, in combination with the Part and the Vendor, identify different types of hardware items. The SerialNumber can then be used to differentiate between different instances of the same type of hardware item. This is an optional attribute.",型号,制造商分配的、用于标识硬件通用类型或类别的编号。
resolutionDate,The date and time the trouble ticket was resolved,解决日期,故障单被解决的日期和时间。
itemTotalPrice,Item total price,项目总价,项目的总价格。
level,Counter level. The counter can be given globally for the bucket or detailed by user or by network product for example in case of shared bucket,级别,计数器的级别，可以是全局的，也可以按用户或产品细分。
consumptionPeriod,0,消耗周期,用量消耗的时间周期。
counterType,Type of the consumption counter. We can give for example a counter of the used value for a bucket (counterType=used for example) or the value of the consumption done out of the bucket(s) (counterType=outOfBucket for example),计数器类型,消耗计数器的类型，例如“已用量”或“超出套餐用量”。
valueName,Value of the counter in a formatted string used for display needs for example,值名称,计数器的值的格式化字符串，用于界面展示。
productOfferingQualification,A reference to a previously done product offering qualification,产品可提供性资格查询,对之前已执行的产品可提供性资格查询的引用。
partyPrivacyProfileSpecification,0,参与方隐私配置规约,与协议相关的参与方隐私配置规约（模板）。
partyPrivacyProfile,The privacy profiles that are the subject of the agreement,参与方隐私配置,作为协议主体的隐私配置。
performanceIndicatorGroupSpecification,0,性能指标组规约,与实体相关的性能指标组规约（模板）。
closedLoopWorkflowActivity,0,闭环工作流活动,与实体相关的闭环工作流活动。
serviceUsageSpecification,Relationship to service usage specification,服务使用量规约,与服务使用量规约（模板）的关系。
exportJob,0,导出任务,与实体相关的导出任务。
jwksUri,DEPRECATED : moved to Application schema. JSON Web Key (JWK) is a data structure that represents a cryptographic key,JWKS URI (已弃用),（已弃用，移至Application schema）JSON Web Key Set (JWKS) 的URI，用于存放公钥。
affectedLocation,"A list of the locations affected by the problem. At least one of affectedResource, affectedService or affectedLocation should be present.",受影响的地点,受问题（Problem）影响的地点列表。
entityRoleSpecification,0,实体角色规约,与实体相关的实体角色规约（模板）。
redirectUrl,"DEPRECATED : moved to Application schema. After a user successfully authorizes an application, the authorization server will redirect the user back to the application.",重定向URL (已弃用),（已弃用，移至Application schema）用户授权成功后，授权服务器将用户重定向回此应用URL。
importJob,0,导入任务,与实体相关的导入任务。
effectiveCancellationDate,Date when the order is cancelled.,生效取消日期,订单被取消的生效日期。
apiName,Standardized name of the API.,API名称,API的标准化名称。
policyCondition,0,策略条件,与实体相关的策略条件。
permission,The list of permissions in this set,权限,此权限集中的权限列表。
