Schema,Descriptions,中文名称,新描述
ServiceProblemDeleteEventPayload,ServiceProblemDeleteEventPayload generic structure,服务问题删除事件数据,服务问题删除事件所携带的具体数据内容。
ServiceProblemDeleteEvent,,服务问题删除事件,当一个服务问题被删除时，系统发出的通知事件。
ServiceProblemCreateEventPayload,ServiceProblemCreateEventPayload generic structure,服务问题创建事件数据,服务问题创建事件所携带的具体数据内容。
ServiceProblemCreateEvent,,服务问题创建事件,当一个服务问题被创建时，系统发出的通知事件。
ServiceProblemAttributeValueChangeEventPayload,ServiceProblemAttributeValueChangeEventPayload generic structure,服务问题属性值变更事件数据,服务问题属性值变更事件所携带的具体数据内容。
ServiceProblemAttributeValueChangeEvent,,服务问题属性值变更事件,当一个服务问题的属性值发生变化时，系统发出的通知事件。
ServiceProblem,,服务问题,描述影响服务的根本性问题，它可能是多个客户故障单（Trouble Ticket）的根源。
SLAViolationRef,,SLA违约引用,用于简要引用一次服务等级协议（SLA）的违约事件记录。
EventTopic,Describes an event topic in a publish and subscribe environment and one or more event types that may be received via the event broker.,事件主题,在发布/订阅模式中，定义了一个用于分类和过滤事件的主题。
LoyaltyBurnStateChangeEvent,,忠诚度兑换状态变更事件,当一个忠诚度兑换交易的状态发生变化时，系统发出的通知事件。
LoyaltyBurnCreateEventPayload,LoyaltyBurnCreateEventPayload generic structure,忠诚度兑换创建事件数据,忠诚度兑换创建事件所携带的具体数据内容。
LoyaltyBurnCreateEvent,,忠诚度兑换创建事件,当一个忠诚度兑换交易被创建时，系统发出的通知事件。
LoyaltyBurn_RES,Response object for LoyaltyBurn,忠诚度兑换响应,对忠诚度兑换（LoyaltyBurn）请求的响应对象。
LoyaltyBurn,,忠诚度兑换,客户使用忠诚度积分（或里程等）来兑换商品或服务的交易。
LoyaltyAccountUpdateEventPayload,LoyaltyAccountUpdateEventPayload generic structure,忠诚度账户更新事件数据,忠诚度账户更新事件所携带的具体数据内容。
LoyaltyAccountUpdateEvent,,忠诚度账户更新事件,当一个忠诚度账户的信息发生更新时，系统发出的通知事件。
LoyaltyAccountStateChangeEventPayload,LoyaltyAccountStateChangeEventPayload generic structure,忠诚度账户状态变更事件数据,忠诚度账户状态变更事件所携带的具体数据内容。
LoyaltyAccountStateChangeEvent,,忠诚度账户状态变更事件,当一个忠诚度账户的状态发生变化时，系统发出的通知事件。
LoyaltyAccountDeleteEventPayload,LoyaltyAccountDeleteEventPayload generic structure,忠诚度账户删除事件数据,忠诚度账户删除事件所携带的具体数据内容。
LoyaltyAccountDeleteEvent,,忠诚度账户删除事件,当一个忠诚度账户被删除时，系统发出的通知事件。
LoyaltyAccountCreateEventPayload,LoyaltyAccountCreateEventPayload generic structure,忠诚度账户创建事件数据,忠诚度账户创建事件所携带的具体数据内容。
LoyaltyAccountCreateEvent,,忠诚度账户创建事件,当一个忠诚度账户被创建时，系统发出的通知事件。
LoyaltyAccount_RES,Response object for LoyaltyAccount,忠诚度账户响应,对忠诚度账户（LoyaltyAccount）请求的响应对象。
LoyaltyAccount,,忠诚度账户,用于记录和管理客户忠诚度积分（或里程等）的账户。
LoyaltyProgramMember,,忠诚度计划会员,描述一个加入了忠诚度计划的客户（参与方）。
LoyaltyExecutionPointUpdateEventPayload,LoyaltyExecutionPointUpdateEventPayload generic structure,忠诚度执行点更新事件数据,忠诚度执行点更新事件所携带的具体数据内容。
LoyaltyExecutionPointUpdateEvent,,忠诚度执行点更新事件,当一个忠诚度执行点的规则发生更新时，系统发出的通知事件。
LoyaltyExecutionPointDeleteEventPayload,LoyaltyExecutionPointDeleteEventPayload generic structure,忠诚度执行点删除事件数据,忠诚度执行点删除事件所携带的具体数据内容。
LoyaltyExecutionPointDeleteEvent,,忠诚度执行点删除事件,当一个忠诚度执行点被删除时，系统发出的通知事件。
LoyaltyExecutionPointCreateEventPayload,LoyaltyExecutionPointCreateEventPayload generic structure,忠誠度執行點創建事件數據,忠诚度执行点创建事件所携带的具体数据内容。
LoyaltyExecutionPointCreateEvent,,忠诚度执行点创建事件,当一个忠诚度执行点被创建时，系统发出的通知事件。
LoyaltyExecutionPoint_RES,Response object for LoyaltyExecutionPoint,忠诚度执行点响应,对忠诚度执行点（LoyaltyExecutionPoint）请求的响应对象。
LoyaltyExecutionPoint,,忠诚度执行点,定义了在业务流程中触发忠诚度累积或兑换操作的规则和节点。
LoyaltyEarnStateChangeEventPayload,LoyaltyEarnStateChangeEventPayload generic structure,忠诚度累积状态变更事件数据,忠诚度累积状态变更事件所携带的具体数据内容。
LoyaltyEarnStateChangeEvent,,忠诚度累积状态变更事件,当一个忠诚度累积交易的状态发生变化时，系统发出的通知事件。
LoyaltyEarnCreateEventPayload,LoyaltyEarnCreateEventPayload generic structure,忠诚度累积创建事件数据,忠诚度累积创建事件所携带的具体数据内容。
LoyaltyEarnCreateEvent,,忠诚度累积创建事件,当一个忠诚度累积交易被创建时，系统发出的通知事件。
LoyaltyEarn_RES,Response object for LoyaltyEarn,忠诚度累积响应,对忠诚度累积（LoyaltyEarn）请求的响应对象。
LoyaltyEarn,,忠诚度累积,客户通过购买或参与活动获得忠诚度积分（或里程等）的交易。
LoyaltyBurnStateChangeEventPayload,LoyaltyBurnStateChangeEventPayload generic structure,忠诚度兑换状态变更事件数据,忠诚度兑换状态变更事件所携带的具体数据内容。
LoyaltyProgramPartnerDeleteEventPayload,LoyaltyProgramPartnerDeleteEventPayload generic structure,忠诚度计划伙伴删除事件数据,忠诚度计划伙伴删除事件所携带的具体数据内容。
LoyaltyProgramPartnerDeleteEvent,,忠诚度计划伙伴删除事件,当一个忠诚度计划合作伙伴被删除时，系统发出的通知事件。
LoyaltyProgramPartnerCreateEventPayload,LoyaltyProgramPartnerCreateEventPayload generic structure,忠诚度计划伙伴创建事件数据,忠诚度计划伙伴创建事件所携带的具体数据内容。
LoyaltyProgramPartnerCreateEvent,,忠诚度计划伙伴创建事件,当一个忠诚度计划合作伙伴被创建时，系统发出的通知事件。
LoyaltyProgramPartner_RES,Response object for LoyaltyProgramPartner,忠诚度计划伙伴响应,对忠诚度计划伙伴（LoyaltyProgramPartner）请求的响应对象。
LoyaltyProgramPartner,,忠诚度计划伙伴,参与忠诚度计划的外部合作商家或机构。
LoyaltyProgramMemberUpdateEventPayload,LoyaltyProgramMemberUpdateEventPayload generic structure,忠诚度计划会员更新事件数据,忠诚度计划会员更新事件所携带的具体数据内容。
LoyaltyProgramMemberUpdateEvent,,忠诚度计划会员更新事件,当一个忠诚度计划会员的信息发生更新时，系统发出的通知事件。
LoyaltyProgramMemberStateChangeEventPayload,LoyaltyProgramMemberStateChangeEventPayload generic structure,忠诚度计划会员状态变更事件数据,忠诚度计划会员状态变更事件所携带的具体数据内容。
LoyaltyProgramMemberStateChangeEvent,,忠诚度计划会员状态变更事件,当一个忠诚度计划会员的状态发生变化时，系统发出的通知事件。
LoyaltyProgramMemberRef,Reference to a loyalty program member,忠诚度计划会员引用,用于简要引用一个忠诚度计划的会员。
LoyaltyProgramMemberDeleteEventPayload,LoyaltyProgramMemberDeleteEventPayload generic structure,忠诚度计划会员删除事件数据,忠诚度计划会员删除事件所携带的具体数据内容。
LoyaltyProgramMemberDeleteEvent,,忠诚度计划会员删除事件,当一个忠诚度计划会员被删除时，系统发出的通知事件。
LoyaltyProgramMemberCreateEventPayload,LoyaltyProgramMemberCreateEventPayload generic structure,忠诚度计划会员创建事件数据,忠诚度计划会员创建事件所携带的具体数据内容。
LoyaltyProgramMemberCreateEvent,,忠诚度计划会员创建事件,当一个忠诚度计划会员被创建时，系统发出的通知事件。
LoyaltyProgramMember_RES,Response object for LoyaltyProgramMember,忠诚度计划会员响应,对忠诚度计划会员（LoyaltyProgramMember）请求的响应对象。
LoyaltyProgramProductSpecificationDeleteEvent,,忠诚度计划产品规格删除事件,当一个忠诚度计划产品规格被删除时，系统发出的通知事件。
LoyaltyProgramProductSpecificationCreateEventPayload,LoyaltyProgramProductSpecificationCreateEventPayload generic structure,忠诚度计划产品规格创建事件数据,忠诚度计划产品规格创建事件所携带的具体数据内容。
LoyaltyProgramProductSpecificationCreateEvent,,忠诚度计划产品规格创建事件,当一个忠诚度计划产品规格被创建时，系统发出的通知事件。
LoyaltyProgramProductSpecification_RES,Response object for LoyaltyProgramProductSpecification,忠诚度计划产品规格响应,对忠诚度计划产品规格（LoyaltyProgramProductSpecification）请求的响应对象。
LoyaltyProgramProductSpecification,,忠诚度计划产品规格,忠诚度计划中可供兑换或累积的产品的模板或蓝图。
LoyaltyProgramProductRef,A reference to a loyalty product.,忠诚度计划产品引用,用于简要引用一个忠诚度计划中的产品。
LoyaltyProgramProductDeleteEventPayload,LoyaltyProgramProductDeleteEventPayload generic structure,忠诚度计划产品删除事件数据,忠诚度计划产品删除事件所携带的具体数据内容。
LoyaltyProgramProductDeleteEvent,,忠诚度计划产品删除事件,当一个忠诚度计划产品被删除时，系统发出的通知事件。
LoyaltyProgramProductCreateEventPayload,LoyaltyProgramProductCreateEventPayload generic structure,忠诚度计划产品创建事件数据,忠诚度计划产品创建事件所携带的具体数据内容。
LoyaltyProgramProductCreateEvent,,忠诚度计划产品创建事件,当一个忠诚度计划产品被创建时，系统发出的通知事件。
LoyaltyProgramProduct_RES,Response object for LoyaltyProgramProduct,忠诚度计划产品响应,对忠诚度计划产品（LoyaltyProgramProduct）请求的响应对象。
LoyaltyProgramProduct,,忠诚度计划产品,忠诚度计划中的一个具体产品实例，例如可兑换的“1GB流量包”。
LoyaltyProgramPartnerUpdateEventPayload,LoyaltyProgramPartnerUpdateEventPayload generic structure,忠诚度计划伙伴更新事件数据,忠诚度计划伙伴更新事件所携带的具体数据内容。
LoyaltyProgramPartnerUpdateEvent,,忠诚度计划伙伴更新事件,当一个忠诚度计划合作伙伴的信息发生更新时，系统发出的通知事件。
LoyaltyProgramPartnerStateChangeEventPayload,LoyaltyProgramPartnerStateChangeEventPayload generic structure,忠诚度计划伙伴状态变更事件数据,忠诚度计划伙伴状态变更事件所携带的具体数据内容。
LoyaltyProgramPartnerStateChangeEvent,,忠诚度计划伙伴状态变更事件,当一个忠诚度计划合作伙伴的状态发生变化时，系统发出的通知事件。
PaymentMethodRefOrValue,link to the resource that holds information about the payment mean used to complete the operation,支付方式引用或值,一个灵活的模型，既可以包含一个完整的支付方式信息（值），也可以只包含对一个已存在支付方式的引用。
PaymentItem,,支付项,一次支付（Payment）中所包含的具体项目或费用明细。
Payment,,支付,记录一次完整的支付交易信息。
LoyaltyProgramProductUpdateEventPayload,LoyaltyProgramProductUpdateEventPayload generic structure,忠诚度计划产品更新事件数据,忠诚度计划产品更新事件所携带的具体数据内容。
LoyaltyProgramProductUpdateEvent,,忠诚度计划产品更新事件,当一个忠诚度计划产品的信息发生更新时，系统发出的通知事件。
LoyaltyProgramProductStateChangeEventPayload,LoyaltyProgramProductStateChangeEventPayload generic structure,忠诚度计划产品状态变更事件数据,忠诚度计划产品状态变更事件所携带的具体数据内容。
LoyaltyProgramProductStateChangeEvent,,忠诚度计划产品状态变更事件,当一个忠诚度计划产品的状态发生变化时，系统发出的通知事件。
LoyaltyProgramProductSpecificationUpdateEventPayload,LoyaltyProgramProductSpecificationUpdateEventPayload generic structure,忠诚度计划产品规格更新事件数据,忠诚度计划产品规格更新事件所携带的具体数据内容。
LoyaltyProgramProductSpecificationUpdateEvent,,忠诚度计划产品规格更新事件,当一个忠诚度计划产品规格的信息发生更新时，系统发出的通知事件。
LoyaltyProgramProductSpecificationStateChangeEventPayload,LoyaltyProgramProductSpecificationStateChangeEventPayload generic structure,忠诚度计划产品规格状态变更事件数据,忠诚度计划产品规格状态变更事件所携带的具体数据内容。
LoyaltyProgramProductSpecificationStateChangeEvent,,忠诚度计划产品规格状态变更事件,当一个忠诚度计划产品规格的状态发生变化时，系统发出的通知事件。
LoyaltyProgramProductSpecificationDeleteEventPayload,LoyaltyProgramProductSpecificationDeleteEventPayload generic structure,忠诚度计划产品规格删除事件数据,忠诚度计划产品规格删除事件所携带的具体数据内容。
ShoppingCartCreateEvent,,购物车创建事件,当一个购物车被创建时，系统发出的通知事件。
ShoppingCartAttributeValueChangeEventPayload,ShoppingCartAttributeValueChangeEventPayload generic structure,购物车属性值变更事件数据,购物车属性值变更事件所携带的具体数据内容。
ShoppingCartAttributeValueChangeEvent,,购物车属性值变更事件,当一个购物车的属性值发生变化时，系统发出的通知事件。
ShoppingCart,,购物车,临时存放客户意向购买商品或服务的容器，是生成订单的前一步。
CartTerm,,购物车条款,与购物车中商品或服务相关的条款和条件。
CartPrice,,购物车价格,购物车中所有商品的总价，包括折扣、税费等。
CartItemStatusType,"Possible values for the status of the cart item, saveForLater items are not calculated in the cart prices",购物车项状态类型,定义购物车中项目的状态，例如“有效”或“暂存”（saveForLater）。
CartItemRelationship,,购物车项关系,描述购物车中不同项目之间的关系，例如捆绑关系。
CartItemActionType,action to be performed on the product,购物车项操作类型,定义了对购物车中项目可以执行的操作，如add（添加）、delete（删除）。
CartItem,,购物车项,购物车中的一个具体商品或服务。
BillPresentationMediaDeleteEvent,,账单呈现媒介删除事件,当一个账单呈现媒介被删除时，系统发出的通知事件。
BillPresentationMediaCreateEventPayload,BillPresentationMediaCreateEventPayload generic structure,账单呈现媒介创建事件数据,账单呈现媒介创建事件所携带的具体数据内容。
BillPresentationMediaCreateEvent,,账单呈现媒介创建事件,当一个账单呈现媒介被创建时，系统发出的通知事件。
BillPresentationMediaAttributeValueChangeEventPayload,BillPresentationMediaAttributeValueChangeEventPayload generic structure,账单呈现媒介属性值变更事件数据,账单呈现媒介属性值变更事件所携带的具体数据内容。
BillPresentationMediaAttributeValueChangeEvent,,账单呈现媒介属性值变更事件,当一个账单呈现媒介的属性值发生变化时，系统发出的通知事件。
BillFormatStateChangeEventPayload,BillFormatStateChangeEventPayload generic structure,账单格式状态变更事件数据,账单格式状态变更事件所携带的具体数据内容。
BillFormatStateChangeEvent,,账单格式状态变更事件,当一个账单格式的状态发生变化时，系统发出的通知事件。
BillFormatDeleteEventPayload,BillFormatDeleteEventPayload generic structure,账单格式删除事件数据,账单格式删除事件所携带的具体数据内容。
BillFormatDeleteEvent,,账单格式删除事件,当一个账单格式被删除时，系统发出的通知事件。
BillFormatCreateEventPayload,BillFormatCreateEventPayload generic structure,账单格式创建事件数据,账单格式创建事件所携带的具体数据内容。
BillFormatCreateEvent,,账单格式创建事件,当一个账单格式被创建时，系统发出的通知事件。
BillFormatAttributeValueChangeEventPayload,BillFormatAttributeValueChangeEventPayload generic structure,账单格式属性值变更事件数据,账单格式属性值变更事件所携带的具体数据内容。
BillFormatAttributeValueChangeEvent,,账单格式属性值变更事件,当一个账单格式的属性值发生变化时，系统发出的通知事件。
ShoppingCartDeleteEventPayload,ShoppingCartDeleteEventPayload generic structure,购物车删除事件数据,购物车删除事件所携带的具体数据内容。
ShoppingCartDeleteEvent,,购物车删除事件,当一个购物车被删除时，系统发出的通知事件。
ShoppingCartCreateEventPayload,ShoppingCartCreateEventPayload generic structure,购物车创建事件数据,购物车创建事件所携带的具体数据内容。
BillingCycleSpecificationCreateEventPayload,BillingCycleSpecificationCreateEventPayload generic structure,计费周期规约创建事件数据,计费周期规约创建事件所携带的具体数据内容。
BillingCycleSpecificationCreateEvent,,计费周期规约创建事件,当一个计费周期规约被创建时，系统发出的通知事件。
BillingCycleSpecificationAttributeValueChangeEventPayload,BillingCycleSpecificationAttributeValueChangeEventPayload generic structure,计费周期规约属性值变更事件数据,计费周期规约属性值变更事件所携带的具体数据内容。
BillingCycleSpecificationAttributeValueChangeEvent,,计费周期规约属性值变更事件,当一个计费周期规约的属性值发生变化时，系统发出的通知事件。
BillingAccountStateChangeEventPayload,BillingAccountStateChangeEventPayload generic structure,计费账户状态变更事件数据,计费账户状态变更事件所携带的具体数据内容。
BillingAccountStateChangeEvent,,计费账户状态变更事件,当一个计费账户的状态发生变化时，系统发出的通知事件。
BillingAccountDeleteEventPayload,BillingAccountDeleteEventPayload generic structure,计费账户删除事件数据,计费账户删除事件所携带的具体数据内容。
BillingAccountDeleteEvent,,计费账户删除事件,当一个计费账户被删除时，系统发出的通知事件。
BillingAccountCreateEventPayload,BillingAccountCreateEventPayload generic structure,计费账户创建事件数据,计费账户创建事件所携带的具体数据内容。
BillingAccountCreateEvent,,计费账户创建事件,当一个计费账户被创建时，系统发出的通知事件。
BillingAccountAttributeValueChangeEventPayload,BillingAccountAttributeValueChangeEventPayload generic structure,计费账户属性值变更事件数据,计费账户属性值变更事件所携带的具体数据内容。
BillingAccountAttributeValueChangeEvent,,计费账户属性值变更事件,当一个计费账户的属性值发生变化时，系统发出的通知事件。
BillingAccount,,计费账户,用于归集客户费用并生成账单的账户。
BillPresentationMediaStateChangeEventPayload,BillPresentationMediaStateChangeEventPayload generic structure,账单呈现媒介状态变更事件数据,账单呈现媒介状态变更事件所携带的具体数据内容。
BillPresentationMediaStateChangeEvent,,账单呈现媒介状态变更事件,当一个账单呈现媒介的状态发生变化时，系统发出的通知事件。
BillPresentationMediaDeleteEventPayload,BillPresentationMediaDeleteEventPayload generic structure,账单呈现媒介删除事件数据,账单呈现媒介删除事件所携带的具体数据内容。
PartyAccountCreateEvent,,参与方账户创建事件,当一个参与方账户被创建时，系统发出的通知事件。
PartyAccountAttributeValueChangeEventPayload,PartyAccountAttributeValueChangeEventPayload generic structure,参与方账户属性值变更事件数据,参与方账户属性值变更事件所携带的具体数据内容。
PartyAccountAttributeValueChangeEvent,,参与方账户属性值变更事件,当一个参与方账户的属性值发生变化时，系统发出的通知事件。
FinancialAccountStateChangeEventPayload,FinancialAccountStateChangeEventPayload generic structure,财务账户状态变更事件数据,财务账户状态变更事件所携带的具体数据内容。
FinancialAccountStateChangeEvent,,财务账户状态变更事件,当一个财务账户的状态发生变化时，系统发出的通知事件。
FinancialAccountDeleteEventPayload,FinancialAccountDeleteEventPayload generic structure,财务账户删除事件数据,财务账户删除事件所携带的具体数据内容。
FinancialAccountDeleteEvent,,财务账户删除事件,当一个财务账户被删除时，系统发出的通知事件。
FinancialAccountCreateEventPayload,FinancialAccountCreateEventPayload generic structure,财务账户创建事件数据,财务账户创建事件所携带的具体数据内容。
FinancialAccountCreateEvent,,财务账户创建事件,当一个财务账户被创建时，系统发出的通知事件。
FinancialAccountAttributeValueChangeEventPayload,FinancialAccountAttributeValueChangeEventPayload generic structure,财务账户属性值变更事件数据,财务账户属性值变更事件所携带的具体数据内容。
FinancialAccountAttributeValueChangeEvent,,财务账户属性值变更事件,当一个财务账户的属性值发生变化时，系统发出的通知事件。
FinancialAccount,An account of money owed by a party to another entity in exchange for goods or services that have been delivered or used. A financial (account receivable account/account payable) aggregates the amounts of one or more party accounts (billing or settlement) owned by a given party. It is a specialization of entity Account.,财务账户,用于管理应收或应付账款的账户，是更高层级的财务概念。
BillingCycleSpecificationStateChangeEventPayload,BillingCycleSpecificationStateChangeEventPayload generic structure,计费周期规约状态变更事件数据,计费周期规约状态变更事件所携带的具体数据内容。
BillingCycleSpecificationStateChangeEvent,,计费周期规约状态变更事件,当一个计费周期规约的状态发生变化时，系统发出的通知事件。
BillingCycleSpecificationDeleteEventPayload,BillingCycleSpecificationDeleteEventPayload generic structure,计费周期规约删除事件数据,计费周期规约删除事件所携带的具体数据内容。
BillingCycleSpecificationDeleteEvent,,计费周期规约删除事件,当一个计费周期规约被删除时，系统发出的通知事件。
AttachmentAttributeValueChangeEventPayload,AttachmentAttributeValueChangeEventPayload generic structure,附件属性值变更事件数据,附件属性值变更事件所携带的具体数据内容。
AttachmentAttributeValueChangeEvent,,附件属性值变更事件,当一个附件的属性值发生变化时，系统发出的通知事件。
SettlementAccountStateChangeEventPayload,SettlementAccountStateChangeEventPayload generic structure,结算账户状态变更事件数据,结算账户状态变更事件所携带的具体数据内容。
SettlementAccountStateChangeEvent,,结算账户状态变更事件,当一个结算账户的状态发生变化时，系统发出的通知事件。
SettlementAccountDeleteEventPayload,SettlementAccountDeleteEventPayload generic structure,结算账户删除事件数据,结算账户删除事件所携带的具体数据内容。
SettlementAccountDeleteEvent,,结算账户删除事件,当一个结算账户被删除时，系统发出的通知事件。
SettlementAccountCreateEventPayload,SettlementAccountCreateEventPayload generic structure,结算账户创建事件数据,结算账户创建事件所携带的具体数据内容。
SettlementAccountCreateEvent,,结算账户创建事件,当一个结算账户被创建时，系统发出的通知事件。
SettlementAccountAttributeValueChangeEventPayload,SettlementAccountAttributeValueChangeEventPayload generic structure,结算账户属性值变更事件数据,结算账户属性值变更事件所携带的具体数据内容。
SettlementAccountAttributeValueChangeEvent,,结算账户属性值变更事件,当一个结算账户的属性值发生变化时，系统发出的通知事件。
SettlementAccount,"A party account used for settlement purposes. It includes a description of the bill structure (frequency, presentation media, format and so on). It is a specialization of entity PartyAccount.",结算账户,用于合作方之间进行结算的账户，例如运营商之间的漫游费结算。
PartyAccountStateChangeEventPayload,PartyAccountStateChangeEventPayload generic structure,参与方账户状态变更事件数据,参与方账户状态变更事件所携带的具体数据内容。
PartyAccountStateChangeEvent,,参与方账户状态变更事件,当一个参与方账户的状态发生变化时，系统发出的通知事件。
PartyAccountDeleteEventPayload,PartyAccountDeleteEventPayload generic structure,参与方账户删除事件数据,参与方账户删除事件所携带的具体数据内容。
PartyAccountDeleteEvent,,参与方账户删除事件,当一个参与方账户被删除时，系统发出的通知事件。
PartyAccountCreateEventPayload,PartyAccountCreateEventPayload generic structure,参与方账户创建事件数据,参与方账户创建事件所携带的具体数据内容。
DocumentSpecificationDeleteEventPayload,DocumentSpecificationDeleteEventPayload generic structure,文档规约删除事件数据,文档规约删除事件所携带的具体数据内容。
DocumentSpecificationDeleteEvent,,文档规约删除事件,当一个文档规约被删除时，系统发出的通知事件。
DocumentSpecificationCreateEventPayload,DocumentSpecificationCreateEventPayload generic structure,文档规约创建事件数据,文档规约创建事件所携带的具体数据内容。
DocumentSpecificationCreateEvent,,文档规约创建事件,当一个文档规约被创建时，系统发出的通知事件。
DocumentSpecificationAttributeValueChangeEventPayload,DocumentSpecificationAttributeValueChangeEventPayload generic structure,文档规约属性值变更事件数据,文档规约属性值变更事件所携带的具体数据内容。
DocumentSpecificationAttributeValueChangeEvent,,文档规约属性值变更事件,当一个文档规约的属性值发生变化时，系统发出的通知事件。
DocumentDeleteEventPayload,DocumentDeleteEventPayload generic structure,文档删除事件数据,文档删除事件所携带的具体数据内容。
DocumentDeleteEvent,,文档删除事件,当一个文档被删除时，系统发出的通知事件。
DocumentCreateEventPayload,DocumentCreateEventPayload generic structure,文档创建事件数据,文档创建事件所携带的具体数据内容。
DocumentCreateEvent,,文档创建事件,当一个文档被创建时，系统发出的通知事件。
DocumentAttributeValueChangeEventPayload,DocumentAttributeValueChangeEventPayload generic structure,文档属性值变更事件数据,文档属性值变更事件所携带的具体数据内容。
DocumentAttributeValueChangeEvent,,文档属性值变更事件,当一个文档的属性值发生变化时，系统发出的通知事件。
AttachmentDeleteEventPayload,AttachmentDeleteEventPayload generic structure,附件删除事件数据,附件删除事件所携带的具体数据内容。
AttachmentDeleteEvent,,附件删除事件,当一个附件被删除时，系统发出的通知事件。
AttachmentCreateEventPayload,AttachmentCreateEventPayload generic structure,附件创建事件数据,附件创建事件所携带的具体数据内容。
AttachmentCreateEvent,,附件创建事件,当一个附件被创建时，系统发出的通知事件。
PartyRoleSpecificationCreateEvent,,参与方角色规约创建事件,当一个参与方角色规约被创建时，系统发出的通知事件。
PartyRoleSpecificationAttributeValueChangeEventPayload,PartyRoleSpecificationAttributeValueChangeEventPayload generic structure,参与方角色规约属性值变更事件数据,参与方角色规约属性值变更事件所携带的具体数据内容。
PartyRoleSpecificationAttributeValueChangeEvent,,参与方角色规约属性值变更事件,当一个参与方角色规约的属性值发生变化时，系统发出的通知事件。
PartyRoleSpecification,,参与方角色规约,参与方角色的模板或蓝图，定义了角色的名称、描述和通用规则。
PartyRoleDeleteEventPayload,PartyRoleDeleteEventPayload generic structure,参与方角色删除事件数据,参与方角色删除事件所携带的具体数据内容。
PartyRoleDeleteEvent,,参与方角色删除事件,当一个参与方角色被删除时，系统发出的通知事件。
PartyRoleCreateEventPayload,PartyRoleCreateEventPayload generic structure,参与方角色创建事件数据,参与方角色创建事件所携带的具体数据内容。
PartyRoleCreateEvent,,参与方角色创建事件,当一个参与方角色被创建时，系统发出的通知事件。
PartyRoleAttributeValueChangeEventPayload,PartyRoleAttributeValueChangeEventPayload generic structure,参与方角色属性值变更事件数据,参与方角色属性值变更事件所携带的具体数据内容。
PartyRoleAttributeValueChangeEvent,,参与方角色属性值变更事件,当一个参与方角色的属性值发生变化时，系统发出的通知事件。
DocumentStateChangeEventPayload,DocumentStateChangeEventPayload generic structure,文档状态变更事件数据,文档状态变更事件所携带的具体数据内容。
DocumentStateChangeEvent,,文档状态变更事件,当一个文档的状态发生变化时，系统发出的通知事件。
DocumentSpecificationStatusChangeEventPayload,DocumentSpecificationStatusChangeEventPayload generic structure,文档规约状态变更事件数据,文档规约状态变更事件所携带的具体数据内容。
DocumentSpecificationStatusChangeEvent,,文档规约状态变更事件,当一个文档规约的状态发生变化时，系统发出的通知事件。
DocumentSpecificationRefOrValue,,文档规约引用或值,一个灵活的模型，既可以包含一个完整的文档规约信息，也可以只包含对一个已存在规约的引用。
DocumentSpecificationRef,,文档规约引用,用于简要引用一个文档规约（模板）。
DigitalWallet,,数字钱包,一种支付方式，例如支付宝、微信支付、Apple Pay。
Check,,支票,一种支付方式，通过纸质支票进行支付。
Cash,,现金,一种支付方式，通过现金进行支付。
BankCard,,银行卡,一种支付方式，例如信用卡或借记卡。
BankAccountTransfer,,银行账户转账,一种支付方式，通过银行账户之间直接转账进行支付。
BankAccountDebit,,银行账户借记,一种支付方式，从银行账户直接扣款。
AttachmentValue,,附件值,表示附件的实际内容或数据，而不是一个链接或引用。
AccountPaymentMethod,,账户支付方式,一种支付方式，使用账户的预付余额或信用额度进行支付。
PartyRoleStateChangeEventPayload,PartyRoleStateChangeEventPayload generic structure,参与方角色状态变更事件数据,参与方角色状态变更事件所携带的具体数据内容。
PartyRoleStateChangeEvent,,参与方角色状态变更事件,当一个参与方角色的状态发生变化时，系统发出的通知事件。
PartyRoleSpecificationStateChangeEventPayload,PartyRoleSpecificationStateChangeEventPayload generic structure,参与方角色规约状态变更事件数据,参与方角色规约状态变更事件所携带的具体数据内容。
PartyRoleSpecificationStateChangeEvent,,参与方角色规约状态变更事件,当一个参与方角色规约的状态发生变化时，系统发出的通知事件。
PartyRoleSpecificationDeleteEventPayload,PartyRoleSpecificationDeleteEventPayload generic structure,参与方角色规约删除事件数据,参与方角色规约删除事件所携带的具体数据内容。
PartyRoleSpecificationDeleteEvent,,参与方角色规约删除事件,当一个参与方角色规约被删除时，系统发出的通知事件。
PartyRoleSpecificationCreateEventPayload,PartyRoleSpecificationCreateEventPayload generic structure,参与方角色规约创建事件数据,参与方角色规约创建事件所携带的具体数据内容。
PromotionAction,"Action of the promotion. When the customer meets the conditions in the promotion pattern, the customer can be given the benefits in the action.",促销动作,描述客户满足促销条件后可以获得的具体利益，例如“九折优惠”或“赠送1GB流量”。
Promotion,"Promotion Resource is used to provide additional discounts, vouchers, bonuses, or gifts to customers who meet predefined criteria. By using promotions, the enterprise can attract users and encourage more consumption, especially continuous purchases. Normally, promotions are not considered a specific type of product or product offering. They are often applied when customers purchase product offerings that exceed a certain price or amount limit.",促销活动,描述一项完整的营销促销活动，旨在通过优惠、赠品等方式吸引客户。
Voucher,,代金券 / 凭证,一种支付方式或优惠凭证，可以用于抵扣消费金额。
TokenizedCard,,令牌化银行卡,一种安全的支付方式，使用一个临时的、唯一的令牌来代替真实的银行卡号进行交易。
PaymentMethodStatusChangePayload,PaymentMethodStatusChangePayload generic structure,支付方式状态变更事件数据,支付方式状态变更事件所携带的具体数据内容。
